C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.95,38,1,7.466666666666667,0.13392857142857142,25,120,0.20833333333333334,192.49814974190667,1.0
0.003,0.95,40,1,7.466666666666667,0.13392857142857142,24,120,0.2,202.49812431354076,1.0
0.003,0.95,42,1,7.466666666666667,0.13392857142857142,24,120,0.2,212.49812431354076,1.0
0.003,0.95,44,1,7.466666666666667,0.13392857142857142,24,120,0.2,222.49812431354076,1.0
0.003,0.95,48,1,7.466666666666667,0.13392857142857142,23,120,0.19166666666666668,242.49809888517484,1.0
0.003,0.95,52,1,7.466666666666667,0.13392857142857142,22,120,0.18333333333333332,262.49808553012554,1.0
0.003,0.95,56,1,7.466666666666667,0.13392857142857142,22,120,0.18333333333333332,282.49808553012554,1.0
0.003,0.95,60,1,7.466666666666667,0.13392857142857142,22,120,0.18333333333333332,302.49808553012554,1.0
0.003,0.97,1,43,7.466666666666667,5.758928571428571,79,120,0.6583333333333333,27.48607045901008,1.0
0.003,0.97,2,22,7.466666666666667,2.946428571428571,67,120,0.5583333333333333,42.49704783689231,1.0
0.003,0.97,3,15,7.466666666666667,2.008928571428571,57,120,0.475,52.492251958930865,1.0
0.003,0.97,4,11,7.466666666666667,1.4732142857142856,51,120,0.425,52.4871503750328,1.0
0.003,0.97,5,10,7.466666666666667,1.3392857142857142,47,120,0.39166666666666666,72.49855083902366,1.0
0.003,0.97,6,7,7.466666666666667,0.9375,42,120,0.35,64.99264268099796,1.0
0.003,0.97,8,4,7.466666666666667,0.5357142857142857,40,120,0.3333333333333333,79.99807833950035,1.0
0.003,0.97,10,4,7.466666666666667,0.5357142857142857,31,120,0.25833333333333336,57.4981276569888,1.0
0.003,0.97,12,4,7.466666666666667,0.5357142857142857,28,120,0.23333333333333334,64.99763008195441,1.0
0.003,0.97,16,4,7.466666666666667,0.5357142857142857,25,120,0.20833333333333334,82.4982749640476,1.0
0.003,0.97,20,4,7.466666666666667,0.5357142857142857,24,120,0.2,102.49818692461122,1.0
0.003,0.97,22,3,7.466666666666667,0.4017857142857143,24,120,0.2,112.49818692461122,1.0
